iter	Passed	Remaining
0	4	412
1	6	306
2	7	257
3	9	223
4	10	204
5	12	189
6	13	180
7	14	172
8	18	185
9	19	178
10	20	168
11	21	161
12	22	153
13	24	147
14	24	141
15	25	135
16	26	130
17	27	126
18	28	122
19	29	118
20	30	115
21	32	114
22	33	111
23	34	108
24	35	105
25	35	102
26	36	99
27	37	97
28	38	94
29	39	91
30	40	89
31	41	87
32	41	84
33	42	82
34	43	80
35	44	78
36	45	76
37	46	76
38	47	74
39	48	72
40	49	70
41	49	68
42	50	66
43	51	64
44	51	63
45	52	61
46	53	60
47	54	58
48	55	57
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	59	48
55	61	48
56	62	46
57	63	45
58	64	44
59	65	43
60	65	42
61	66	40
62	67	39
63	68	38
64	69	37
65	69	36
66	70	34
67	71	33
68	72	32
69	73	31
70	73	30
71	74	29
72	75	27
73	76	26
74	77	25
75	77	24
76	78	23
77	79	22
78	80	21
79	81	20
80	81	19
81	82	18
82	83	17
83	84	16
84	85	15
85	85	13
86	86	12
87	87	11
88	88	10
89	89	9
90	89	8
91	90	7
92	91	6
93	92	5
94	93	4
95	93	3
96	94	2
97	95	1
98	96	0
99	97	0
